date,gs3mo,ff,bofaml_us_aa_oas,bofaml_us_aa_yld,bofaml_us_bbb_oas,bofaml_us_bbb_yld,bofaml_us_hyld_oas,nfci_lin,eurusd,sp500,sveny01,sveny02,sveny05,sveny10,bkeven02,bkeven03,bkeven04,bkeven05,bkeven10,bkeven1f4,bkeven1f9,bkeven5f05,broad,afe,eme,krippner,krippnerlong
20jun2003,.82999998,1.23,.51999998,2.9200001,1.8,4.6599998,6.0700002,-.730180025100708,-15.315002,690.34357,.9384,1.2179,2.349,3.711,1.31120002269745,1.28709995746613,1.32729995250702,1.39310002326965,1.77660000324249,1.66299998760223,2.46770000457764,2.16499996185303,467.0437509359891,468.7533916377821,464.3410008106805,.1519924412295461,.15199244
23jun2003,.85000002,1.21,.51999998,2.8399999,1.8099999,4.5999999,6.21,-.7314657228333603,-14.314774,688.92249,.9048,1.1636,2.2691,3.6313,1.21259999275208,1.21329998970032,1.27300000190735,1.3532999753952,1.7577999830246,1.68159997463226,2.44359993934631,2.16759991645813,467.0591794843612,468.7513536531706,464.3818451749818,.1509951995906714,.15099519
24jun2003,.82999998,1.15,.51999998,2.8,1.8200001,4.5599999,6.29,-.731894288744245,-14.539806,689.10669,.896,1.134,2.2302,3.5931,1.15149998664856,1.167799949646,1.24269998073578,1.33539998531342,1.75940001010895,1.71309995651245,2.44479990005493,2.18939995765686,467.348556074211,469.1590898859247,464.4989948609415,.123122523723191,.12312252
25jun2003,.92000002,1.1799999,.50999999,2.9100001,1.8,4.6500001,6.1500001,-.7323228546551297,-14.418682,688.27655,1.0354,1.2854,2.3488,3.6869,1.36370003223419,1.34860002994537,1.39260005950928,1.45949995517731,1.8319000005722,1.73469996452332,2.48959994316101,2.21009993553162,466.6945189303535,468.2076500786446,464.2777128240891,.164939398381149,.1649394
26jun2003,.91000003,1.1,.50999999,3.0599999,1.8,4.79,6.0300002,-.7327514205660135,-13.383089,689.34735,1.1112,1.4183,2.5214,3.8268,2.0385000705719,1.62139999866486,1.45739996433258,1.42900002002716,1.86370003223419,1.31959998607635,2.82509994506836,2.29839992523193,467.4205590954111,469.3925484595649,464.3360614694384,.2136789666971547,.21367897
27jun2003,.87,1.08,.50999999,3.0699999,1.79,4.8000002,6.0300002,-.7331799864768982,-13.216775,688.36877,1.068,1.3913,2.537,3.8865,1.27320003509521,1.29550004005432,1.36269998550415,1.44500005245209,1.84039998054504,1.78199994564056,2.50430011749268,2.24219989776611,467.4508085477765,469.4501106515693,464.3265677418702,.2421427140970815,.24214271
30jun2003,.89999998,1.45,.51999998,3.04,1.79,4.7800002,6.1300001,-.7343971473830093,-13.339428,688.19244,1.0331,1.3274,2.4851,3.8383,,,,,,,,,467.4125936687122,469.3542337776375,464.3722577023649,.2658817693401782,.26588178
01jul2003,.88999999,1.11,.51999998,3.05,1.8099999,4.8099999,6.1500001,-.7348028676850458,-14.349402,688.9917,1.0395,1.3291,2.4907,3.8629,,,,,,,,,467.0538036001259,468.8063790474932,464.2885784781179,.2738688845495732,.27386889
02jul2003,.87,1.01,.51999998,3.03,1.8099999,4.7800002,6.1799998,-.7352085879870822,-14.280047,690.14856,1.03,1.3167,2.4803,3.8622,1.27180004119873,1.26370000839233,1.31840002536774,1.39540004730225,1.77300000190735,1.71060001850128,2.39650011062622,2.15669989585876,466.8606560981724,468.5286260448256,464.2185417179906,.2692964259012477,.26929644
03jul2003,.87,.95999998,.51999998,3.0899999,1.79,4.8400002,6.1100001,-.7356143082891196,-13.60156,689.33521,1.0435,1.3486,2.5706,3.9771,1.26119995117188,1.26559996604919,1.33039999008179,1.41369998455048,1.79289996623993,1.75409996509552,2.40779995918274,2.17869997024536,466.7759785960257,468.4792623931943,464.0824784986391,.2796037916648994,.27960378
04jul2003,,.95999998,.51999998,3.0899999,1.78,4.8400002,6.1100001,-.736020028591156,-13.680075,,,,,,,,,,,,,,466.7761729054789,468.4792623931943,464.0829555507131,.2815695783511235,.28156957
07jul2003,.92000002,1,.50999999,3.1300001,1.77,4.8800001,6.0500002,-.7363628659929546,-12.751299,691.21655,1.062,1.388,2.6413,4.045,1.29470002651215,1.28390002250671,1.33819997310638,1.41460001468658,1.80060005187988,1.72739994525909,2.46050000190735,2.1923999786377,467.3320808655931,469.419204132336,464.0800501591768,.3109456559014463,.31094566
08jul2003,.92000002,.93000001,.50999999,3.1600001,1.76,4.8899999,5.9699998,-.7364771451268877,-12.451612,691.55646,1.076,1.4151,2.6667,4.059,1.30069994926453,1.2742999792099,1.31749999523163,1.38800001144409,1.7985999584198,1.67690002918243,2.5378999710083,2.21390008926392,468.08615435912,470.4514899814105,464.4292926525059,.3204574078395965,.3204574
09jul2003,.89999998,.95999998,.50999999,3.1400001,1.75,4.8699999,5.9699998,-.7365914242608207,-12.707343,690.99628,1.0598,1.3964,2.6403,4.0342,1.29069995880127,1.29639995098114,1.35920000076294,1.4404000043869,1.84519994258881,1.77279996871948,2.53979992866516,2.25589990615845,467.9168732925473,470.3178654253177,464.208127259037,.3181421388973302,.31814215
10jul2003,.88999999,1,.50999999,3.1099999,1.75,4.8299999,6,-.7367057033947535,-12.592724,689.6391,1.0346,1.3563,2.6012,4.0136,1.25300002098083,1.26279997825623,1.33609998226166,1.43050003051758,1.89160001277924,1.81589996814728,2.6654999256134,2.35890007019043,467.8448363657368,470.1939278312789,464.2116117769308,.3094826915902196,.30948269
11jul2003,.88999999,.98000002,.51999998,3.0699999,1.77,4.8000002,6.0500002,-.7368199825286865,-12.354374,690.58936,1.0157,1.3122,2.5433,3.9765,1.54180002212524,1.33850002288818,1.30739998817444,1.36409997940063,1.95029997825623,1.59669995307922,3.0304000377655,2.53880000114441,467.9173904487998,470.3453159834671,464.1694532154339,.2911972401078128,.29119724
14jul2003,.91000003,1.0700001,.5,3.1199999,1.74,4.8499999,5.9400001,-.7353071400097448,-12.212919,691.16077,1.0545,1.3757,2.6135,4.053,1.30169999599457,1.30610001087189,1.37549996376038,1.46879994869232,1.94900000095367,1.85029995441437,2.76659989356995,2.43540000915527,467.8338608216197,470.3250321151792,463.9938937293351,.2995928112119177,.29959282
15jul2003,.92000002,1.13,.5,3.27,1.72,4.9899998,5.73,-.734802859170097,-12.389794,690.8175,1.0947,1.4878,2.8286,4.2569,1.51189994812012,1.39110004901886,1.4074000120163,1.48790001869202,2.082200050354,1.81780004501343,3.13680005073547,2.68099999427795,468.3639469679275,471.1436812629015,464.104087494325,.3470533812484029,.34705338
16jul2003,.91000003,1.01,.50999999,3.3099999,1.71,5.0100002,5.7600002,-.7342985783304492,-10.777784,690.17371,1.1006,1.5123,2.8783,4.283,1.55219995975494,1.4083000421524,1.41849994659424,1.49919998645782,2.0971999168396,1.83019995689392,3.14289999008179,2.70009994506836,468.4130828375094,471.2359975452579,464.090390893155,.3509276589878436,.35092765
